wid,evento,descripcion,fecha,comuna,lat,lon,timestamp
d72285f5-c979-47f6-a150-5d3efba26ff9,ROAD_CLOSED,ROAD_CLOSED_EVENT,2025-05-31 16:26:33,Ñuñoa,-33.461741,-70.610118,1748723193000.0
8e025e17-d28d-4023-b8fb-32c7bd5178a2,JAM,JAM_STAND_STILL_TRAFFIC,2025-05-31 17:07:30,Recoleta,-33.428317,-70.648543,1748725650000.0
a2c69e52-1f26-4dad-b665-e8487d4818cd,ROAD_CLOSED,ROAD_CLOSED_EVENT,2025-05-31 16:25:22,Ñuñoa,-33.462149,-70.606178,1748723122000.0
c56c2eec-ed8f-48fe-9a4c-16ad382cf51d,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-05-31 16:16:03,Estación Central,-33.470967,-70.68478,1748722563000.0
01c1e583-dcc7-4e77-a26e-a10679d46b80,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-05-19 08:01:52,Recoleta,-33.4242,-70.640109,1747656112000.0
bba9542e-799b-4c6d-86d9-d9e1d2f0c8b7,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,2025-04-22 09:00:00,Santiago,-33.44668,-70.661444,1745326800000.0
c3fb744e-a92a-4b28-b37e-bd761e345667,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,2025-04-22 09:00:00,Santiago,-33.445298,-70.658021,1745326800000.0
f38603da-e73e-43d3-87f5-5d264fc4ceb0,ROAD_CLOSED,ROAD_CLOSED_EVENT,2025-05-31 16:25:20,Ñuñoa,-33.461909,-70.610156,1748723120000.0
b9087441-b136-4bca-9984-47bdf03c896d,HAZARD,HAZARD_ON_ROAD_POT_HOLE,2025-05-31 13:49:49,Lo Prado,-33.440382,-70.734828,1748713789000.0
fd8887ea-921b-4265-bc21-d8a394ce2ec7,HAZARD,HAZARD_ON_ROAD_OBJECT,2025-05-31 16:49:59,Santiago,-33.437692,-70.636489,1748724599000.0
24eab0ab-be1c-42bf-abd1-66a51c17ffd1,JAM,JAM_STAND_STILL_TRAFFIC,2025-05-31 16:56:04,Quinta Normal,-33.432696,-70.687314,1748724964000.0
6167c372-ba69-4756-aa0c-48f02abed3df,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,2025-04-22 09:00:00,Santiago,-33.445313,-70.655606,1745326800000.0
d5e1f833-6fc2-479d-9ecb-e7ea457b37c1,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,2025-04-22 09:00:00,Santiago,-33.447197,-70.663675,1745326800000.0
7a712d8d-e030-4abf-9003-11aafda4ced0,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,2025-04-22 09:00:00,Santiago,-33.44766,-70.667388,1745326800000.0
